,MSE,MAE,r2
LR,1.601708114247756,0.6814413784858271,0.9581427996761815
KNN,6.6471744898424845,5.467609523809523,0.3032316203895036
MLP,7.979433355927681,6.4928350180073675,-0.009159611053894779
DT,1.8525336575568476,0.6477301587301587,0.9478327983501644
Adaboost,1.676120416021465,0.735735286068816,0.9576860618382522
GBR,1.5048933086739136,0.3452141679657978,0.9657473505790006
XGboost,1.6979262364454213,0.6095657144122654,0.9570888960516125
RF,1.4900006988919197,0.4086909523809498,0.9668868964669975
LGBM,2.0216674287467495,1.1016337807668488,0.9399896009942651
SVR,7.702067297050879,6.3182551212971045,0.06634267343063902
ETR,1.3824163491441162,0.3926049206349208,0.9722700784005227
Catboost,1.6631724059499815,0.7933437381877848,0.9600324569250853
